場コード,レース,枠,展示 タイム,チルト,体重,着,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,登録番号,級別,選手名,支部,出身,年齢,体重kg,F数,L数,平均ST
18,11,6,6.94,0.0,52.2kg,5,4.56,14.29,44.29,5.66,41.38,58.62,72,40.74,62.96,35,34.84,49.03,4116,B1,川田,正人  徳島,徳島,45,52.2,1.0,0,0.18
18,12,1,6.89,-0.5,52.0kg,1,6.31,33.33,47.22,8.5,78.57,85.71,73,36.73,48.98,38,38.89,50.62,3779,A1,原田,幸哉  長崎,愛知,50,52.0,1.0,0,0.12
18,12,2,6.96,0.0,53.7kg,4,6.15,43.55,67.74,6.38,47.83,64.35,36,37.93,62.07,42,28.93,44.03,3711,A2,江本,真治  山口,山口,51,53.7,1.0,0,0.15
18,12,3,6.9,0.0,53.4kg,2,7.0,57.98,75.63,6.06,40.0,60.0,33,52.73,69.09,31,29.56,47.17,3612,A1,馬袋,義則  兵庫,兵庫,53,53.4,0.0,0,0.14
18,12,4,6.94,-0.5,51.5kg,3,6.02,43.33,60.83,5.59,29.41,58.82,34,24.56,47.37,59,39.75,57.76,4058,A1,野末,智一  静岡,静岡,47,51.5,0.0,0,0.19
18,12,5,7.0,0.0,52.0kg,5,6.47,47.41,68.1,5.95,40.91,63.64,17,45.28,64.15,36,33.11,52.98,4644,A1,山田,亮太  東京,東京,47,52.0,0.0,0,0.14
18,12,6,6.95,0.0,53.8kg,6,6.48,48.75,70.0,5.56,38.89,55.56,67,33.33,51.85,11,24.84,39.75,4463,A2,三苫,晃幸  福岡,福岡,40,53.8,0.0,0,0.15
19,1,1,6.76,0.0,52.0kg,1,4.35,27.78,38.89,2.29,0.0,14.29,36,37.93,51.72,39,22.86,42.86,5186,B1,遠藤,圭吾  東京,神奈川,26,52.0,0.0,0,0.17
19,1,2,6.77,0.0,51.5kg,6,2.36,6.41,14.1,0.0,0.0,0.0,51,35.14,45.95,40,37.14,54.29,5315,B1,浅井,翼  埼玉,北海道,25,51.5,0.0,0,0.17
19,1,3,6.73,0.0,53.2kg,3,4.29,22.86,37.14,2.84,10.53,15.79,40,57.58,75.76,15,23.53,38.24,5308,B1,藤森,拓海  福岡,福岡,21,53.2,0.0,0,0.19
19,1,4,6.78,0.0,54.4kg,4,4.43,23.23,40.4,1.89,0.0,0.0,53,27.5,52.5,38,44.74,71.05,5337,B1,出畑,孝成  福岡,福岡,20,54.4,0.0,0,0.18
19,1,5,6.72,0.0,54.4kg,2,4.89,22.94,43.12,4.2,26.67,26.67,61,30.3,51.52,43,48.48,63.64,4562,B1,阪本,勇介  岡山,岡山,38,54.4,0.0,0,0.18
19,1,6,6.76,0.0,50.0kg,5,4.4,19.1,40.45,0.0,0.0,0.0,41,31.25,37.5,18,20.59,52.94,3297,B1,藤丸,光一  福岡,福岡,59,50.0,0.0,0,0.18
19,2,1,6.72,0.0,53.2kg,1,4.27,19.61,41.18,0.0,0.0,0.0,39,35.48,48.39,21,36.36,48.48,5237,B1,永松,良教  福岡,福岡,26,53.2,0.0,0,0.14
19,2,2,6.76,0.0,52.1kg,2,4.0,19.23,34.62,0.0,0.0,0.0,22,34.48,55.17,48,11.43,22.86,4327,B1,加藤,翔  静岡,静岡,43,52.1,0.0,0,0.18
19,2,3,6.75,0.0,52.2kg,3,5.1,32.38,47.62,5.2,26.67,53.33,46,38.24,70.59,25,37.04,48.15,4395,B1,下河,雅史  福岡,福岡,40,52.2,0.0,0,0.18
19,2,4,6.8,0.0,53.9kg,6,3.57,13.64,24.55,3.95,22.73,31.82,69,40.0,60.0,69,45.71,62.86,3891,B1,谷口,健一  福井,福井,50,53.9,0.0,0,0.18
19,2,5,6.74,0.0,52.0kg,5,5.06,33.33,48.15,5.43,28.57,42.86,44,17.07,29.27,51,60.0,68.57,4138,B1,中井,俊祐  大阪,大阪,45,52.0,0.0,0,0.17
19,2,6,6.77,0.0,51.5kg,4,4.95,25.53,48.94,4.03,19.44,30.56,66,18.75,34.38,54,22.22,36.11,4306,A2,畔柳,俊吾  愛知,愛知,42,51.5,0.0,0,0.17
19,3,1,6.76,0.0,55.7kg,1,4.78,29.7,46.53,5.01,33.33,47.31,25,25.58,41.86,28,55.0,75.0,4158,B1,木場,雄二郎  山口,山口,45,55.7,0.0,0,0.17
19,3,2,6.75,-0.5,52.6kg,6,6.03,42.86,63.49,5.5,40.0,60.0,54,40.0,60.0,49,51.52,63.64,5049,A2,松井,友汰  大阪,大阪,31,52.6,1.0,0,0.16
19,3,3,6.72,0.0,52.1kg,3,5.96,41.84,57.14,6.86,57.14,57.14,57,42.42,57.58,66,30.77,41.03,4121,A1,富永,修一  福岡,福岡,44,52.1,0.0,0,0.13
19,3,4,6.76,0.0,51.5kg,2,4.36,13.21,39.62,5.2,28.57,51.43,73,36.36,48.48,46,32.35,47.06,4533,B2,峰重,侑治  岡山,岡山,37,51.5,0.0,0,0.17
19,3,5,6.72,0.0,52.6kg,4,4.57,26.8,34.02,0.0,0.0,0.0,30,48.39,74.19,65,54.29,65.71,4380,B1,鈴木,峻佑  静岡,静岡,41,52.6,0.0,0,0.17
19,3,6,6.8,-0.5,52.3kg,5,4.4,25.24,40.78,4.26,29.76,41.67,72,8.82,17.65,27,46.88,59.38,4846,B1,佐藤,駿介  山口,山口,32,52.3,0.0,0,0.17
19,4,1,6.66,0.0,53.4kg,1,4.05,22.22,34.57,4.03,24.24,30.3,52,50.0,62.5,57,50.0,53.13,4563,B1,齋藤,真之  岡山,岡山,38,53.4,0.0,0,0.18
19,4,2,6.74,0.0,52.0kg,3,5.26,30.3,51.52,3.85,20.0,30.67,33,36.84,57.89,35,26.47,47.06,5311,B1,小林,京平  山口,山口,28,52.0,0.0,0,0.17
19,4,3,6.77,0.0,52.0kg,6,7.02,50.0,71.74,6.57,43.48,65.22,65,19.35,35.48,17,38.24,64.71,4296,A1,岡崎,恭裕  福岡,福岡,39,52.0,0.0,0,0.13
19,4,4,6.7,0.0,56.7kg,4,5.25,36.61,52.68,4.61,29.41,41.18,64,24.24,36.36,42,25.71,34.29,4173,B1,岡谷,健吾  広島,広島,43,56.7,0.0,0,0.18
19,4,5,6.79,0.0,52.5kg,5,3.91,18.89,28.89,5.71,42.86,57.14,12,42.42,60.61,61,42.86,62.86,3860,B1,松本,浩貴  埼玉,埼玉,53,52.5,0.0,0,0.19
19,4,6,6.7,-0.5,54.0kg,2,6.67,54.81,66.35,4.64,27.27,27.27,27,45.16,70.97,23,40.0,65.71,4587,A2,木田,峰由季  福井,石川,35,54.0,0.0,0,0.15
19,5,1,6.72,0.0,52.4kg,2,6.47,52.14,65.81,0.0,0.0,0.0,17,65.63,87.5,53,33.33,54.55,4796,A2,春園,功太  三重,三重,34,52.4,0.0,0,0.13
19,5,2,6.79,-0.5,54.2kg,6,3.3,13.51,27.03,2.0,0.0,16.67,13,43.75,56.25,44,31.43,54.29,4176,B1,樋口,喜彦  兵庫,大阪,43,54.2,0.0,0,0.15
19,5,3,6.76,0.0,52.5kg,5,4.57,28.87,41.24,4.61,33.33,42.42,43,41.67,55.56,68,51.61,67.74,4054,B1,福嶋,智之  岡山,岡山,48,52.5,0.0,0,0.16
19,5,4,6.7,0.0,52.6kg,1,6.79,55.37,68.6,5.21,34.04,44.68,63,45.16,64.52,36,37.14,60.0,5158,A2,宮脇,遼太  福岡,福岡,28,52.6,0.0,0,0.17
19,5,5,6.77,-0.5,46.5kg,4,3.55,21.57,27.45,4.27,27.27,45.45,34,31.58,55.26,33,48.48,63.64,4683,B2,向井田,直弥  広島,広島,35,46.5,0.0,0,0.14
19,5,6,6.73,0.0,52.0kg,3,4.53,26.25,43.75,4.28,19.44,41.67,31,40.0,54.29,19,25.71,45.71,5102,B1,原田,雄次  福岡,福岡,28,52.0,0.0,0,0.18
19,6,1,6.75,0.0,50.0kg,3,4.4,19.1,40.45,0.0,0.0,0.0,41,31.25,37.5,18,20.59,52.94,3297,B1,藤丸,光一  福岡,福岡,59,50.0,0.0,0,0.18
19,6,2,6.82,-0.5,52.0kg,1,5.06,33.33,48.15,5.43,28.57,42.86,44,17.07,29.27,51,60.0,68.57,4138,B1,中井,俊祐  大阪,大阪,45,52.0,0.0,0,0.17
19,6,3,6.8,0.0,52.0kg,4,4.35,27.78,38.89,2.29,0.0,14.29,36,37.93,51.72,39,22.86,42.86,5186,B1,遠藤,圭吾  東京,神奈川,26,52.0,0.0,0,0.17
19,6,4,6.75,0.0,52.4kg,2,7.79,64.76,82.86,9.86,100.0,100.0,67,41.18,58.82,73,36.36,60.61,4926,A1,吉川,貴仁  三重,三重,32,52.4,0.0,0,0.14
19,6,5,6.82,0.0,52.0kg,6,4.95,29.47,47.37,5.63,31.25,62.5,68,23.53,26.47,20,34.29,65.71,4336,B1,松田,竜馬  福岡,鹿児島,42,52.0,0.0,0,0.15
19,6,6,6.85,0.0,54.8kg,5,6.77,48.42,72.63,6.29,32.69,67.31,20,31.43,51.43,22,26.47,52.94,4051,A1,清水,敦揮  岡山,岡山,45,54.8,0.0,0,0.17
19,7,1,6.74,-0.5,53.2kg,1,3.75,20.75,33.96,0.0,0.0,0.0,47,44.12,58.82,60,38.89,50.0,5179,B1,藤本,元輝  兵庫,兵庫,29,53.2,0.0,0,0.15
