場コード,レース,枠,展示 タイム,チルト,体重,着,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,モーターNo,モーター2連率,モーター3連率,ボートNo,ボート2連率,ボート3連率,登録番号,級別,選手名,支部,出身,年齢,体重kg,F数,L数,平均ST,級別_num,is_win,展示順位,全国勝率順位,当地勝率順位,モーター順位,ボート順位,平均ST順位,展示平均との差,全国勝率平均との差,当地勝率平均との差,モーター平均との差,ボート平均との差,インコース,F持ち,軽量,展示1位,モーター上位,全国勝率上位,PAMU指数,PAMU指数V2,PAMU順位,AI_1着確率,AI_1着確率%,AI確率,AI確率%
6,3,5,6.74,-0.5,57.7kg,3,4.26,20.22,33.71,4.53,23.53,41.18,43,18.18,36.36,45,41.86,53.49,4393,B1,田中,孝明  福岡,福岡,40,57.7,0.0,0.0,0.19,2,0,5.0,3.0,4.0,5.0,1.0,3.0,0.048,-0.492,-0.4579999999999993,-11.282,9.370000000000005,0,0,0,0,0,0,94.0,90.9,4.0,0.018,1.8,0.013846153846153845,1.4
6,4,1,6.68,-0.5,52.0kg,1,6.65,52.38,65.31,5.9,45.0,65.0,26,43.1,56.9,18,37.58,56.97,4512,A1,高野,哲史  兵庫,兵庫,37,52.0,0.0,0.0,0.16,4,1,2.0,1.0,1.0,2.0,4.0,2.0,-0.043333333333333,1.7416666666666671,1.1516666666666664,6.06666666666667,2.5649999999999977,1,0,1,0,1,1,200.0,122.5,1.0,0.734,73.4,0.6872659176029962,68.7
6,4,2,6.63,-0.5,52.0kg,2,4.48,23.4,38.3,4.0,20.0,30.0,5,48.08,75.0,67,39.88,55.36,4257,B1,古川,健  広島,広島,42,52.0,0.0,0.0,0.16,2,0,1.0,4.0,6.0,1.0,1.0,2.0,-0.0933333333333328,-0.4283333333333328,-0.748333333333334,11.046666666666669,4.865000000000002,0,0,1,1,1,0,165.0,105.4,3.0,0.238,23.8,0.22284644194756553,22.3
6,4,3,6.68,0.0,53.7kg,3,5.59,35.14,56.76,5.5,33.33,55.56,1,42.62,60.66,49,25.16,43.87,4423,B1,坂口,貴彦  岡山,岡山,37,53.7,0.0,0.0,0.17,2,0,2.0,2.0,2.0,3.0,6.0,4.0,-0.043333333333333,0.6816666666666666,0.751666666666666,5.586666666666666,-9.855,0,0,0,0,0,1,159.0,110.50000000000001,2.0,0.038,3.8,0.035580524344569285,3.6
6,4,4,6.73,0.0,52.4kg,6,4.01,16.88,36.36,4.76,27.03,40.54,4,37.5,52.08,29,38.41,53.05,4727,B1,安部,慎一  福岡,福岡,38,52.4,0.0,0.0,0.14,2,0,4.0,6.0,3.0,4.0,3.0,1.0,0.0066666666666677,-0.8983333333333334,0.0116666666666658,0.4666666666666685,3.394999999999996,0,0,0,0,0,0,109.0,102.5,4.0,0.028,2.8,0.026217228464419474,2.6
6,4,5,6.81,-0.5,52.9kg,5,4.04,20.41,35.71,4.24,23.81,35.71,39,22.64,33.96,38,29.63,46.91,3637,B1,齋藤,和政  愛知,愛知,55,52.9,0.0,0.0,0.18,2,0,5.0,5.0,4.0,6.0,5.0,5.0,0.0866666666666668,-0.8683333333333332,-0.5083333333333337,-14.39333333333333,-5.385000000000002,0,0,0,0,0,0,71.0,71.4,6.0,0.0,0.0,0.0,0.0
6,4,6,6.81,-0.5,52.7kg,4,4.68,23.53,44.12,4.09,20.0,37.78,28,28.26,41.3,48,39.43,54.29,3790,B1,佐口,達也  群馬,群馬,54,52.7,0.0,0.0,0.2,2,0,5.0,3.0,5.0,5.0,2.0,6.0,0.0866666666666668,-0.2283333333333335,-0.6583333333333341,-8.77333333333333,4.414999999999999,0,0,0,0,0,0,71.0,73.60000000000001,5.0,0.03,3.0,0.028089887640449434,2.8
6,5,1,6.66,-0.5,52.8kg,1,3.86,12.5,33.33,0.0,0.0,0.0,17,34.78,45.65,21,44.12,57.65,4866,B1,橋本,英一  福岡,福岡,36,52.8,0.0,0.0,0.16,2,1,2.0,6.0,6.0,3.0,1.0,2.0,-0.0249999999999994,-0.9866666666666668,-4.371666666666667,-0.2683333333333308,7.640000000000001,1,0,0,0,0,0,145.0,85.5,4.0,0.756,75.6,0.7842323651452282,78.4
6,5,2,6.65,-0.5,52.5kg,4,4.96,31.76,42.35,5.07,33.78,48.65,34,40.43,70.21,71,37.8,56.71,4625,B1,渡邊,裕貴  静岡,静岡,40,52.5,0.0,0.0,0.16,2,0,1.0,2.0,4.0,2.0,3.0,2.0,-0.0349999999999992,0.1133333333333332,0.6983333333333333,5.381666666666668,1.3200000000000005,0,0,0,1,1,1,180.0,133.70000000000002,1.0,0.094,9.4,0.0975103734439834,9.8
6,5,3,6.72,-0.5,52.3kg,2,4.57,29.47,41.05,4.44,18.75,31.25,47,27.08,47.92,56,36.59,50.61,4558,B1,宮野,仁  岡山,岡山,36,52.3,0.0,0.0,0.23,2,0,6.0,4.0,5.0,4.0,4.0,6.0,0.0350000000000001,-0.2766666666666664,0.0683333333333333,-7.968333333333334,0.1100000000000065,0,0,0,0,0,0,92.0,72.7,5.0,0.028,2.8,0.029045643153526972,2.9
6,5,4,6.66,-0.5,54.1kg,3,4.24,17.82,34.65,5.29,42.86,42.86,6,25.0,43.75,31,29.11,50.63,4945,B1,上村,宏太  東京,東京,34,54.1,0.0,0.0,0.19,2,0,2.0,5.0,3.0,5.0,6.0,5.0,-0.0249999999999994,-0.6066666666666665,0.918333333333333,-10.048333333333332,-7.369999999999997,0,0,0,0,0,0,114.0,70.7,6.0,0.012,1.2,0.012448132780082988,1.2
6,5,5,6.71,-0.5,56.7kg,6,4.65,28.72,41.49,5.58,38.46,61.54,3,58.0,70.0,73,32.34,44.31,3967,B1,鈴木,茂高  愛知,愛知,46,56.7,1.0,0.0,0.18,2,0,4.0,3.0,2.0,1.0,5.0,4.0,0.0250000000000003,-0.1966666666666663,1.208333333333333,22.951666666666668,-4.1399999999999935,0,1,0,0,1,0,122.0,103.2,3.0,0.032,3.2,0.03319502074688797,3.3
